ITEM: TIMESTEP
3900
ITEM: NUMBER OF ATOMS
10000
ITEM: BOX BOUNDS pp pp pp
-9.9000000000000000e+01 9.9000000000000000e+01
-9.9000000000000000e+01 9.9000000000000000e+01
-1.9800000000000001e+01 1.9800000000000001e+01
ITEM: ATOMS x y
-97.6175 98.1582
-97.2131 -97.8938
-93.5726 -98.0492
-92.4696 -98.5315
-91.2281 -97.5482
-87.4848 98.591
-86.0723 98.6315
-82.3786 97.0388
-84.4882 -98.3935
-82.7757 -97.9743
-77.2877 -97.63
-77.4105 98.1951
-76.3332 98.8465
-73.2433 97.6452
-72.0699 -98.4877
-67.5685 98.5781
-66.5883 -98.8609
-65.1716 -98.5909
-64.0834 98.9385
-62.4672 -98.8272
-60.3388 98.3566
-58.9605 98.163
-55.4308 -97.0187
-53.3326 -98.1069
-52.7769 -97.1961
-51.3925 -98.8863
-49.0213 -97.9277
-44.6648 -97.897
-41.7477 98.0182
-41.8424 -97.1973
-39.2124 -98.4271
-37.8126 98.3987
-36.7986 98.2652
-32.9305 -98.8452
-31.8131 -98.2366
-31.5497 97.977
-26.887 -98.5706
-25.6946 -98.0691
-22.0225 98.7656
-21.3024 -98.3335
-19.5153 -97.6434
-17.3195 98.206
-16.9186 -98.0928
-15.1619 98.7812
-13.4241 98.4441
-10.4861 -98.4338
-8.14692 -98.0675
-7.14392 98.5085
-3.00642 97.948
-0.453577 98.2395
0.184663 97.2385
2.12023 -98.8324
5.70709 -98.9296
7.91659 -98.4705
6.73444 96.5816
8.28176 98.5066
10.7958 -97.9723
13.9679 98.4292
14.2229 -98.4915
17.2355 98.0803
21.1465 -96.7481
23.268 97.4828
23.6602 -97.7622
25.6868 98.3397
28.582 98.6432
30.6702 -97.8788
32.4526 97.6784
33.2334 -98.283
35.9624 98.3601
38.2614 97.8986
40.5629 98.0542
39.7619 -97.7179
43.7722 97.5984
44.6881 96.6744
46.5808 -98.72
50.9702 -98.8404
52.8997 -97.734
52.8636 98.8612
54.7218 98.2698
56.6028 -98.7713
58.4788 97.8827
61.0438 97.4586
62.5994 -97.0195
64.2325 -98.0769
67.1729 98.3486
70.3032 98.7278
72.7999 -97.7074
71.9892 98.8258
75.2904 97.9374
79.0131 -97.3658
78.9173 98.0525
79.9607 -98.4364
82.9914 97.0095
83.3885 98.0364
87.0935 -98.5567
89.5777 -98.8538
89.6219 96.2189
92.8201 -98.4508
94.3159 98.5144
96.1033 -98.6708
-98.6218 -95.9447
-95.8129 -97.4102
-94.5835 -97.3518
-92.7047 -97.1465
-89.6444 -97.724
-88.152 -97.146
-85.5644 -97.033
-84.2042 -97.0161
-83.4689 -99.0134
-82.9861 -96.4083
-79.7426 -97.321
-75.7329 -96.0216
-74.2126 -97.7562
-74.7112 -96.0952
-71.4225 -97.6837
-69.4567 -96.8243
-68.8622 -97.9925
-65.6537 -97.6267
-63.314 -97.2025
-61.444 -98.4198
-59.7558 -98.2112
-58.6446 -95.1361
-55.7072 -95.6324
-53.7446 -96.2091
-51.8486 -96.1542
-51.6108 -97.7602
-47.1821 98.5807
-45.3186 -97.0029
-42.8218 -97.7109
-42.9053 -96.4536
-40.8395 -98.1247
-37.2149 -97.8239
-34.0802 -97.4698
-34.1707 -95.3656
-30.9565 -97.39
-30.0114 -97.7836
-25.6546 -96.098
-25.0954 -97.0366
-23.3947 -97.3477
-22.0306 -96.9915
-19.1032 -96.4089
-17.8872 -96.5005
-16.3612 -96.1413
-13.4033 -97.1281
-9.9134 -97.5013
-8.93695 -96.4522
-7.40292 -96.3349
-6.80773 -97.6213
-4.4104 -96.1664
-1.70417 -98.5571
0.395463 -96.7958
2.78003 -97.7529
