ITEM: TIMESTEP
79400
ITEM: NUMBER OF ATOMS
10000
ITEM: BOX BOUNDS pp pp pp
-5.7205700000000000e+01 5.7205700000000000e+01
-5.7205700000000000e+01 5.7205700000000000e+01
-1.1441100000000000e+01 1.1441100000000000e+01
ITEM: ATOMS x y
-44.3586 47.5934
-45.7554 45.6005
-56.6639 -52.419
-55.6463 -53.7274
-48.8783 48.4109
-45.2996 -51.6575
-38.2431 -51.7976
-45.6801 -54.8537
-31.2125 -48.8042
-35.4865 -44.6731
-24.7624 -46.7517
-32.3047 -50.945
-29.5001 -49.0899
-29.6962 -51.75
-34.6073 -48.2698
-19.6144 -48.7893
-18.9035 -47.2491
-30.1845 53.1226
-29.4537 -50.1348
-27.4863 -53.7006
-24.8464 49.2597
-23.7987 -51.4812
-31.7981 54.5146
-25.2411 54.0792
-22.8936 51.0002
-13.0618 -54.405
-15.8225 -55.3514
-27.9133 53.3011
-23.0326 -46.5956
-20.4484 -54.5819
-6.31973 52.4943
0.652212 54.1866
-17.0424 -53.1653
-0.931345 -54.106
-7.79416 -53.2283
-8.12157 56.5512
-5.81686 -55.8703
-6.41748 -48.6529
-1.45106 -51.5699
17.1038 -47.3848
3.5083 -54.352
-2.74661 -55.1566
-4.05703 -49.5062
-3.4685 -45.7652
11.5404 -34.0954
5.15922 -47.7618
6.36166 57.1984
15.1491 -47.3014
8.27456 55.2887
9.54143 -49.7994
0.343549 -46.0141
12.9375 -45.3898
-5.08213 -43.9112
10.2795 -55.4099
12.8928 -44.318
17.7708 55.0149
16.9662 55.8565
12.9712 -49.2471
15.4485 51.3767
11.8629 53.1751
18.7377 56.7203
21.6352 -54.9473
11.2365 -42.2154
16.3535 -46.7264
19.9122 -54.348
25.4186 56.1902
25.1604 45.7891
22.4226 50.3627
22.9484 -55.4212
30.0228 -54.5384
21.8702 -57.0849
29.9651 -52.0412
28.2142 54.5494
31.1454 -52.371
25.45 -50.5508
26.3694 -46.4601
41.2286 -50.638
41.9466 -54.0549
45.7 -56.1341
34.2144 -51.4086
28.0929 -49.3087
40.9426 55.2967
46.7548 53.9674
49.7991 51.1402
-54.3018 -57.0859
55.935 55.6741
49.8049 -49.1101
54.165 49.0734
50.5404 51.9495
44.8825 51.4801
56.5195 50.7498
42.6077 52.8884
50.6438 47.9681
-50.3415 56.9441
-49.4817 44.1507
-48.3127 53.2604
-50.3124 -52.3444
-52.2793 49.0505
-47.6604 -54.5185
-43.0496 52.1809
-56.5778 54.6126
-48.2461 -55.4904
-49.2155 53.8052
53.1192 49.0664
-55.3922 -54.7174
-47.2157 -53.5383
-46.4329 -51.8868
-39.7947 -51.7579
-48.116 -51.3106
-45.9966 -48.8278
-38.1054 -41.7073
-34.2221 -46.9921
-20.5799 -49.6287
-32.7393 -39.6471
-18.4077 -46.2704
-17.8606 -37.3981
-27.2592 -47.0895
-19.7937 -52.6235
-22.7401 -54.161
-9.49267 -50.1376
-24.8143 -56.2057
-27.2113 -44.1967
-20.5411 -55.667
-14.7378 -50.6396
-28.3897 56.4839
-25.605 48.5702
-22.1418 55.6376
-23.7401 44.7377
-12.0951 -53.9124
-10.0259 -53.4532
-10.7744 -43.6001
-24.0702 -56.9031
-6.19391 49.2186
-4.02582 51.0868
-6.98916 51.6235
-2.91138 49.0385
3.1619 -55.288
2.35415 -49.6717
11.2054 -55.8091
3.52911 -50.2873
9.3646 -50.8483
2.25089 -44.5365
0.430932 -44.3381
3.87654 -48.0032
13.2575 -38.1004
9.89789 -48.7973
-3.18582 -41.9199
7.51699 -44.6113
6.54095 -49.1582
7.07919 -55.3437
12.0667 -52.6
8.72154 -56.8409
11.0724 -54.4012
7.10637 51.5419
5.24416 55.2938
14.888 52.2145
17.8841 54.0253
14.0513 48.9567
21.8397 -48.0787
21.6885 -44.3573
17.0144 -56.0861
14.3548 -56.3476
