ITEM: TIMESTEP
300
ITEM: NUMBER OF ATOMS
10000
ITEM: BOX BOUNDS pp pp pp
-9.9000000000000000e+01 9.9000000000000000e+01
-9.9000000000000000e+01 9.9000000000000000e+01
-1.9800000000000001e+01 1.9800000000000001e+01
ITEM: ATOMS x y
98.9898 -98.9923
-97.0451 -98.983
-94.9865 98.9829
-93.0263 -98.9752
-91.1102 -98.9682
-89.0927 -99
-87.1092 -99.0055
-85.0946 98.9448
-83.2 -98.9781
-81.2339 98.9949
-79.1428 -98.9724
-77.2213 98.9131
-75.271 -98.986
-73.2489 -99.0026
-71.2572 98.9661
-69.2822 98.9807
-67.3206 -98.9757
-65.3263 -98.9546
-63.4437 -98.9901
-61.3737 -98.9572
-59.3938 98.9933
-57.5421 98.9771
-55.4224 -98.9406
-53.4821 98.9077
-51.4697 -98.9832
-49.5765 98.9645
-47.535 -98.9904
-45.5334 -98.9884
-43.5077 98.9236
-41.5942 -98.9612
-39.6512 98.9828
-37.6169 98.9371
-35.6905 -98.9909
-33.6777 -98.9511
-31.6632 98.9838
-29.7464 98.9761
-27.6857 -98.9471
-25.7161 -98.9221
-23.7527 -98.953
-21.7389 -98.9793
-19.7815 -98.9621
-17.8119 98.9508
-15.8494 -98.9706
-13.8791 -98.9876
-11.8244 98.9486
-9.89122 -98.9715
-7.96201 98.9912
-5.96447 -98.9807
-3.92253 98.9494
-1.99706 98.9832
0.0866939 -98.9695
1.98467 98.9624
3.93799 98.9784
5.94397 -98.9367
7.87848 98.9838
9.82717 -98.9599
11.8275 -98.9883
13.8311 98.9344
15.892 -98.9752
17.8328 -98.9662
19.8077 -98.988
21.8045 98.9844
23.7431 -98.9957
25.7663 -98.9726
27.7381 98.9589
29.7099 98.9918
31.6896 98.9468
33.6819 -98.9143
35.6385 98.9688
37.6567 98.9711
39.6662 98.9669
41.5237 -98.9837
43.5054 -98.9991
45.5021 98.9593
47.5289 -98.9644
49.5343 -98.9812
51.5151 99.0043
53.4496 98.9738
55.4165 -99.0051
57.4505 98.9653
59.4181 98.973
61.3999 -98.9924
63.4075 -98.9634
65.3576 98.9753
67.3029 -99.0043
69.3452 -98.9639
71.2581 98.9696
73.2014 99.0017
75.3027 98.9873
77.2848 -98.9931
79.2033 98.9594
81.2024 -98.969
83.1195 98.9599
85.1171 -98.9992
87.1203 -98.9902
89.0678 -98.9975
91.0308 -99.0011
93.105 98.9799
94.9934 98.9632
97.0166 -98.9484
98.9874 -97.0224
-96.9222 -97.0495
-95.0285 -97.0392
-93.0505 -97.0073
-91.1077 -96.9804
-89.1004 -96.9827
-87.1414 -97.0675
-85.1724 -97.0461
-83.1703 -97.1253
-81.2019 -97.0275
-79.2114 -97.0192
-77.1627 -96.9941
-75.2137 -97.0113
-73.2627 -97.0209
-71.3043 -96.985
-69.2997 -97.0273
-67.3471 -97.0323
-65.3629 -97.0289
-63.3232 -97.0642
-61.4422 -97.093
-59.3911 -97.1326
-57.4012 -97.0447
-55.4534 -96.9831
-53.4622 -97.0207
-51.5363 -97.0283
-49.4949 -97.0047
-47.4979 -97.0257
-45.5627 -96.9859
-43.5849 -96.9989
-41.5779 -96.9709
-39.6838 -97.0676
-37.6431 -97.0561
-35.6175 -97.0277
-33.6623 -97.0128
-31.6761 -97.0243
-29.75 -97.0045
-27.7071 -96.9951
-25.6797 -97.02
-23.7616 -97.0032
-21.7716 -97.0398
-19.7744 -97.0082
-17.7809 -97.0176
-15.8901 -96.9658
-13.8747 -97.0603
-11.8665 -96.9686
-9.85785 -96.9474
-7.95249 -97.0866
-5.86944 -97.0243
-4.00959 -96.9975
-1.96398 -96.9962
-0.0275908 -96.9795
1.95427 -97.0545
3.93261 -97.0303
6.00165 -97.0254
7.91626 -97.0128
9.93756 -97.04
11.8755 -97.032
13.8802 -97.0384
15.8602 -97.0054
17.8706 -97.0564
19.8656 -96.9946
21.8307 -97.0513
23.7832 -97.0122
25.7279 -97.0253
27.7045 -97.0955
29.7198 -97.0275
31.7129 -97.0334
33.6467 -97.0347
35.639 -97.0913
37.6286 -97.0406
39.5736 -96.9671
41.5424 -97.0321
43.5497 -97.0109
45.54 -97.039
47.5725 -97.0339
49.508 -97.0085
51.5225 -96.9366
53.4463 -96.9741
55.4124 -96.9799
57.4297 -97.0709
59.4181 -97.0499
61.3792 -96.9888
63.3662 -96.9863
65.3386 -97.0451
67.3554 -97.0175
69.2776 -96.9701
71.254 -96.9716
73.2831 -96.9878
75.2801 -97.0795
77.2239 -97.086
79.2096 -97.049
81.1542 -96.9689
83.131 -97.0569
85.1263 -96.9418
87.0864 -96.9512
89.0743 -97.0861
91.0591 -97.007
93.0584 -96.9912
95.0744 -96.9355
97.0236 -97.0327
-99.0123 -95.0255
-97.0484 -95.0483
-95.0652 -95.0456
-93.0572 -95.0796
-91.0834 -95.002
-89.1484 -95.0035
-87.1593 -94.9841
-85.1523 -94.9935
-83.1979 -95.0548
-81.2495 -95.0164
-79.2244 -95.0856
-77.2245 -95.0645
-75.1517 -95.0482
-73.2453 -95.1097
-71.2845 -95.0835
-69.3309 -95.0201
-67.3363 -95.0458
-65.3249 -95.042
-63.3648 -95.0434
-61.4047 -94.9747
-59.3938 -95.0039
-57.4338 -95.0095
-55.4016 -95.0969
-53.4864 -95.0203
-51.4882 -94.9761
-49.4267 -95.0818
-47.499 -95.0095
-45.5884 -95.0597
-43.5505 -95.019
-41.6254 -95.052
-39.5556 -95.0268
-37.6127 -95.0919
-35.6651 -95.0622
-33.623 -95.0162
-31.637 -95.0612
-29.7124 -94.9861
-27.708 -95.0559
-25.7577 -95.0986
-23.7741 -95.0378
-21.8002 -95.0783
-19.785 -95.0142
-17.8958 -95.0193
-15.8563 -95.0006
-13.8825 -95.0479
