ITEM: TIMESTEP
25
ITEM: NUMBER OF ATOMS
10000
ITEM: BOX BOUNDS pp pp pp
-5.7205700000000000e+01 5.7205700000000000e+01
-5.7205700000000000e+01 5.7205700000000000e+01
-1.1441100000000000e+01 1.1441100000000000e+01
ITEM: ATOMS x y
57.2064 57.2066
-56.0601 57.2048
-54.9164 57.2074
-53.7722 57.2037
-52.6291 57.2059
-51.485 57.2044
-50.3411 57.2058
-49.1959 57.2045
-48.0509 57.2058
-46.9072 57.2055
-45.7642 57.2069
-44.6192 57.2062
-43.4754 57.2052
-42.3317 57.2057
-41.1879 57.2064
-40.0438 57.2061
-38.8997 57.2062
-37.7546 57.2048
-36.6121 57.2061
-35.4665 57.207
-34.3224 57.2064
-33.1805 57.2059
-32.0327 57.205
-30.8905 57.2043
-29.7461 57.2058
-28.6016 57.2046
-27.4588 57.2054
-26.3143 57.2058
-25.17 57.2061
-24.0253 57.2059
-22.8818 57.2047
-21.7378 57.2054
-20.5935 57.2061
-19.4496 57.2059
-18.3049 57.205
-17.1617 57.2055
-16.0166 57.2053
-14.8733 57.2044
-13.7294 57.2057
-12.5838 57.2064
-11.4402 57.2044
-10.2972 57.2058
-9.15315 57.2052
-8.00738 57.2044
-6.86249 57.2054
-5.72041 57.206
-4.57594 57.2062
-3.43263 57.2062
-2.28723 57.2062
-1.1435 57.2055
0.000653847 57.2053
1.14526 57.2045
2.2888 57.2062
3.43362 57.2056
4.57722 57.2062
5.72152 57.2048
6.86632 57.2057
8.0101 57.2044
9.15407 57.2071
10.2988 57.2052
11.4426 57.2047
12.5856 57.2065
13.7296 57.2062
14.8735 57.2038
16.0182 57.2055
17.1615 57.2065
18.3054 57.2056
19.4508 57.2054
20.5943 57.2051
21.7388 57.2071
22.8823 57.2052
24.0272 57.2047
25.1718 57.2072
26.3151 57.2035
27.4594 57.2054
28.604 57.2076
29.7466 57.2045
30.8924 57.2051
32.0354 57.2051
33.1796 57.2056
34.3243 57.2057
35.4683 57.2063
36.6133 57.2058
37.7551 57.2048
38.8998 57.2047
40.0447 57.2042
41.1899 57.2054
42.3327 57.205
43.4785 57.2064
44.6198 57.2063
45.7651 57.2062
46.9097 57.2054
48.0532 57.2036
49.1978 57.205
50.342 57.2072
51.4865 57.2051
52.6312 57.2049
53.7746 57.2059
54.9197 57.2062
56.0613 57.2058
57.2066 -56.0606
-56.0614 -56.0615
-54.9156 -56.0608
-53.7726 -56.0598
-52.6274 -56.0613
-51.4841 -56.0613
-50.339 -56.0612
-49.195 -56.0607
-48.0516 -56.0614
-46.9076 -56.0611
-45.7642 -56.0619
-44.6189 -56.0617
-43.477 -56.0619
-42.3321 -56.0619
-41.1879 -56.0616
-40.0426 -56.0615
-38.8999 -56.0605
-37.7555 -56.0637
-36.6099 -56.0615
-35.4675 -56.063
-34.3231 -56.0612
-33.1786 -56.0618
-32.0366 -56.0621
-30.8889 -56.0598
-29.7476 -56.0629
-28.6027 -56.0604
-27.4587 -56.0621
-26.3145 -56.0612
-25.1703 -56.0618
-24.0249 -56.0624
-22.8821 -56.0616
-21.7377 -56.062
-20.5943 -56.0624
-19.449 -56.0613
-18.305 -56.0607
-17.1619 -56.0622
-16.0166 -56.0619
-14.8733 -56.0603
-13.7279 -56.0608
-12.5845 -56.0602
-11.4393 -56.0615
-10.2968 -56.062
-9.15188 -56.0622
-8.00701 -56.0617
-6.86466 -56.061
-5.72022 -56.062
-4.57461 -56.0604
-3.4321 -56.0619
-2.28786 -56.0626
-1.14275 -56.0628
-0.000134515 -56.0612
1.14417 -56.062
2.28882 -56.0625
3.43202 -56.0616
4.57652 -56.0619
5.72188 -56.0617
6.86513 -56.0603
8.00933 -56.062
9.15319 -56.0618
10.2995 -56.0619
11.4423 -56.061
12.5854 -56.0615
13.7311 -56.0623
14.8744 -56.0618
16.0181 -56.0613
17.1624 -56.0621
18.3063 -56.0614
19.4515 -56.0622
20.5959 -56.0604
21.7379 -56.0622
22.8838 -56.0631
24.0269 -56.0622
25.171 -56.0623
26.3149 -56.0611
27.4597 -56.062
28.6041 -56.0611
29.7474 -56.0621
30.8925 -56.0616
32.036 -56.0616
33.1806 -56.0613
34.3251 -56.0625
35.4691 -56.0625
36.6126 -56.0614
