ITEM: TIMESTEP
2500
ITEM: NUMBER OF ATOMS
10000
ITEM: BOX BOUNDS pp pp pp
-5.7205700000000000e+01 5.7205700000000000e+01
-5.7205700000000000e+01 5.7205700000000000e+01
-1.1441100000000000e+01 1.1441100000000000e+01
ITEM: ATOMS x y
-55.3259 56.8284
-54.4405 56.1405
-53.3271 56.5338
-52.4115 56.9453
-51.2985 57.1037
-50.2586 -56.9271
-49.169 57.1458
-48.351 56.2239
-46.6219 56.9513
-45.5272 -56.9557
-44.4504 -56.2667
-43.3643 -56.2477
-42.3797 -56.8948
-40.4927 -57.0809
-39.5551 56.1169
-38.2081 -56.535
-37.0691 -56.7405
-36.3375 56.7866
-35.0285 -57.1796
-33.9491 57.0179
-33.1151 -56.6094
-32.6396 56.6525
-31.23 57.0102
-29.9055 56.6326
-29.0861 -56.9692
-28.2675 56.0512
-27.1335 56.8346
-26.2769 56.2079
-24.5997 -56.6332
-22.2518 -56.751
-21.7991 56.669
-20.7993 55.705
-19.8238 56.0267
-18.4768 -57.2021
-17.6159 -56.5549
-15.6768 -56.4547
-15.8201 56.9284
-14.9101 56.5156
-13.7709 57.0625
-11.1201 -56.3764
-10.6583 57.0416
-8.78147 -56.6465
-7.75243 -56.6228
-6.56942 56.9217
-5.25293 -56.2983
-4.45542 -56.9252
-3.41707 -57.0651
-1.69315 55.7719
-1.32755 56.9651
-0.270636 -57.113
0.420028 -56.3834
1.95758 -57.1707
3.23598 56.7382
4.8393 -56.7187
5.45023 56.896
7.26429 57.0213
8.57716 56.7604
8.79083 -56.6429
10.1573 -56.1738
11.3519 -56.3222
12.6532 -56.1318
13.5372 -57.1201
14.6478 57.163
15.9364 -57.1243
16.7334 56.4837
17.7548 56.172
18.6537 56.8453
20.5101 57.0744
21.3347 -56.6059
22.5559 57.169
23.6057 56.8488
24.7689 56.4418
25.4895 57.1597
26.6414 56.8724
27.7217 57.0558
29.2126 57.1174
29.8455 -56.4951
30.301 56.3825
32.2295 56.932
33.395 -56.7377
34.2996 -56.1788
36.777 56.9985
37.0842 -56.0531
38.9404 -56.7754
40.2344 56.4056
41.0094 57.1719
42.0167 57.1682
42.8925 56.5761
43.9981 -56.4273
