ITEM: TIMESTEP
1500
ITEM: NUMBER OF ATOMS
10000
ITEM: BOX BOUNDS pp pp pp
-9.9000000000000000e+01 9.9000000000000000e+01
-9.9000000000000000e+01 9.9000000000000000e+01
-1.9800000000000001e+01 1.9800000000000001e+01
ITEM: ATOMS x y
-98.6009 98.8134
-97.2313 -98.8613
-94.4594 -98.6051
-93.0898 -98.5603
-91.1712 98.9701
-88.9873 98.6243
-86.8541 98.7927
-84.727 98.2432
-84.1356 -98.6269
-81.694 -98.7236
-78.3763 -98.5343
-76.7643 98.6583
-75.6207 -98.9778
-73.2877 98.7043
-71.144 98.6524
-68.7798 98.5835
-67.2745 -98.9087
-64.8407 -98.3078
-63.7213 -98.9313
-61.2874 -98.9219
-59.6207 98.8282
-58.4257 98.7265
-55.1835 -98.4016
-53.3106 98.8758
-51.5256 -98.5823
-50.4316 98.8523
-48.0038 -98.7748
-45.4082 98.6936
-43.0618 98.7034
-41.3432 -98.3813
-40.1548 98.6733
-37.4846 98.3768
-36.1279 -98.7826
-33.2995 -98.693
-31.7313 98.6988
-30.4711 98.7601
-27.3322 -98.7299
-25.3697 -98.9038
-23.472 -98.8938
-21.6011 -98.6303
-19.7295 -98.5328
-17.6365 98.8877
-15.8089 -98.5718
-14.1353 98.9509
-11.8617 98.5198
-10.5101 98.9871
-8.66248 98.9592
-6.41753 -98.3904
-3.17625 98.9191
-1.71689 98.4389
0.356397 98.5812
1.92144 98.8302
4.26875 -98.8685
6.13007 -98.83
7.619 98.523
9.20714 -98.8521
11.709 -98.9043
13.491 98.8933
15.8792 -98.7646
17.4532 98.6772
19.731 -98.7932
22.243 98.8379
23.8613 -98.9713
25.7782 98.5148
27.886 -98.8009
29.9342 -98.6517
31.9719 98.354
33.6159 -98.9412
35.7162 -98.6597
37.8853 98.362
40.0505 98.6447
41.0245 -98.8196
43.6566 98.7723
44.8675 98.0102
47.6357 -98.3198
49.3597 -98.8912
52.027 -98.5589
53.2885 98.845
55.13 98.9257
57.4709 98.6114
59.446 98.9721
61.654 98.7597
63.3797 -98.1163
64.948 -98.6332
67.5602 98.5702
70.4092 -98.7519
71.4641 98.9234
73.1113 98.7134
75.3557 98.9109
77.8979 -98.6886
79.1364 98.8198
80.8204 -97.9002
82.9969 98.3619
84.5832 -98.8895
87.1409 98.7358
88.6122 -98.8759
90.8476 98.4745
93.2236 98.8141
94.5026 98.6858
96.5371 -98.903
98.7803 -97.1146
-96.1417 -97.1492
-95.0943 -97.238
-92.9468 -96.8095
-90.8249 -96.9568
-88.8076 -97.1462
-86.8343 -97.223
-85.1421 -97.1665
-83.1755 -98.0248
-81.2739 -96.8523
-79.1966 -96.971
-76.5684 -96.9392
-75.2479 -97.3
-73.4093 -96.9568
-71.5804 -96.5762
-69.3773 -97.0988
-67.5582 -97.0539
-65.5789 -97.3397
-62.9652 -97.3641
-61.7962 -97.6533
-58.9994 -97.7625
-57.2563 -96.8049
-55.4686 -96.6478
-53.7216 -97.232
-52.0105 -96.7433
-49.8198 -96.9812
-47.115 -97.317
-45.9328 -97.2697
-43.3462 -97.0665
-41.8218 -96.6906
-39.9984 -97.3996
-37.675 -97.3982
-35.3936 -96.8797
-33.4566 -96.9151
-31.0865 -97.0477
-29.8149 -97.1577
-27.274 -96.8066
-25.3387 -97.0381
-23.7027 -96.8508
-21.9161 -96.7878
-19.604 -96.7283
-17.6204 -96.6723
-16.1115 -96.9732
-13.8874 -97.521
-11.4945 -96.6298
-9.42578 -97.1194
-8.13397 -97.1024
-5.79298 -96.6624
-4.18399 -96.6146
-2.16678 -97.6162
-0.20713 -96.8336
2.10922 -97.4279
4.19952 -97.3302
6.51597 -96.9393
7.67679 -96.9062
10.0471 -96.8655
11.9599 -97.1922
14.2164 -97.0217
16.1253 -96.5306
17.5652 -97.5262
19.8763 -96.9319
22.2496 -97.3161
23.9835 -96.6583
25.7039 -97.3016
27.9875 -97.6173
29.9635 -96.9384
31.5199 -97.384
33.5242 -97.144
35.5002 -97.6759
37.9106 -97.579
39.6653 -97.0334
41.8885 -97.5485
43.5526 -97.2024
44.9607 -97.5879
48.0739 -97.3953
49.6041 -96.6229
