ITEM: TIMESTEP
3100
ITEM: NUMBER OF ATOMS
10000
ITEM: BOX BOUNDS pp pp pp
-9.9000000000000000e+01 9.9000000000000000e+01
-9.9000000000000000e+01 9.9000000000000000e+01
-1.9800000000000001e+01 1.9800000000000001e+01
ITEM: ATOMS x y
-98.0172 98.3619
-97.0477 -98.5884
-93.9431 -98.2908
-92.4405 -98.2865
-91.4169 -98.0874
-88.3072 98.3952
-86.177 98.2303
-82.8391 97.5646
-84.5741 -98.4851
-82.5301 -98.0037
-77.352 -97.9727
-77.0984 98.5388
-75.9749 -98.7864
-73.2662 97.9977
-71.8021 -98.7838
-67.6929 98.0921
-66.8221 98.8451
-65.1234 -98.4898
-64.4288 98.6747
-62.1477 98.8627
-60.1126 98.7509
-58.6931 98.4757
-55.3517 -97.5282
-53.2114 -98.2967
-52.379 -97.3743
-51.0622 98.9843
-48.4134 -98.4321
-44.9859 -98.1181
-42.2263 98.3387
-41.538 -97.3246
-39.4338 -98.9231
-37.9753 98.2593
-36.7955 98.9626
-33.016 -98.7423
-31.8395 -98.5307
-31.2561 97.8851
-26.9763 -98.653
-25.1991 -98.7333
-22.7113 -98.6647
-20.9972 -98.3166
-20.0143 -98.0948
-17.6097 98.6215
-16.495 -98.0043
-14.624 98.9667
-13.4809 98.1434
-10.5442 -98.417
-8.65971 -98.1719
-7.20177 -98.7833
-3.0994 98.3441
-1.06815 98.3919
0.171301 97.5554
2.02457 98.6932
5.45868 -98.6376
6.87321 -98.7315
7.08829 97.225
8.52416 98.9083
10.8898 -98.2047
13.4572 98.801
15.5417 -98.6755
16.9931 98.4729
20.5544 -97.6331
23.0327 98.0514
23.817 -98.4932
25.7294 98.0901
28.3857 98.9476
30.236 -97.9672
32.4441 97.9143
33.8407 -98.9188
35.9316 98.5247
38.3682 97.8908
40.438 98.078
40.3153 -97.9302
43.6249 98.3277
44.1833 96.9521
46.8722 -98.64
50.2918 98.9815
52.8861 -97.7326
52.9901 98.6741
54.9838 98.7003
57.2131 98.8785
59.0533 98.3985
61.1471 97.9717
63.0339 -97.3331
64.2687 -97.9458
67.3602 98.7415
70.305 -98.5098
72.3756 -98.4019
72.5296 98.3636
75.2419 98.05
78.607 -97.9398
78.9357 98.458
80.0549 -98.3694
83.1676 97.5774
83.799 98.3975
87.5626 -98.4504
88.7287 98.3894
90.2959 96.7841
93.0038 -98.4988
94.2946 98.596
96.1638 -98.8434
-98.9045 -96.5586
-96.0184 -97.4811
-94.5302 -97.2339
-92.6765 -96.87
-90.2444 -97.6255
-88.2388 -97.1473
-85.7195 -97.0861
-84.6202 -97.3547
-83.0689 -98.8714
-82.3179 -96.7493
-79.366 -97.1954
-75.8916 -96.4941
-74.8928 -97.908
-74.3236 -96.4731
-71.6949 -97.0302
-69.5984 -97.0852
-68.1831 -97.7709
-65.5623 -97.554
-62.698 -97.31
-61.8162 -98.1685
-59.5487 -97.9031
-57.6387 -95.6745
-55.5488 -96.1361
-53.3358 -96.3061
-52.0857 -96.0036
-51.2278 -97.1237
-47.2526 -98.5418
-45.7655 -97.1477
-43.2227 -97.5542
-42.1765 -96.3965
-40.2519 -98.1167
-36.9958 -98.0403
-34.6925 -97.4282
-33.9455 -95.8822
-31.0913 -97.5803
-29.9655 -97.2926
-26.3384 -95.8247
-24.9647 -97.0015
-23.3802 -97.7533
-22.1818 -96.3169
-19.429 -96.3354
-17.8163 -96.5691
-16.1747 -96.4452
-13.636 -97.1294
-10.2573 -97.4175
-9.22271 -97.2075
-7.97425 -96.1882
-6.12444 -97.2401
-4.51746 -95.9759
-1.56333 -98.0366
-0.387096 -97.1953
2.84606 -98.2436
4.37308 -96.5795
6.31004 -97.1486
8.61774 -96.9134
10.1159 -96.3683
12.5897 -98.4032
13.558 -97.7458
16.4906 -95.5509
17.2622 -97.5047
18.4872 -96.6943
22.4461 -96.8974
23.1263 -96.0836
25.3467 -97.5994
29.1995 -97.7985
29.9219 -96.4265
30.9394 -96.9351
32.6143 -97.4691
34.6354 -97.2272
37.9729 -98.6359
39.0617 -96.9233
42.2884 -98.5661
43.4781 -97.0443
44.2562 -98.3713
49.928 -96.721
49.8643 -95.2759
51.0511 -96.413
53.4733 -96.3787
54.1902 -97.4557
57.488 -98.0711
58.8609 -97.1927
61.5439 -96.3396
63.9667 -96.538
64.8821 -97.07
67.6715 -96.4817
69.1507 -97.0705
70.4928 -97.1338
74.3659 -97.3974
75.3842 -97.2847
76.465 -96.7631
79.0052 -96.3998
81.8335 -97.4398
84.1852 -98.2374
83.3535 -95.4388
84.9138 -97.1261
88.3615 -97.304
89.5566 -97.0911
94.9398 -96.8185
96.0472 -96.7288
96.8237 -97.5708
-98.7272 -94.6045
-97.1769 -95.3712
-95.6466 -95.0441
-92.6828 -95.0311
-91.4299 -95.5685
-90.611 -94.8832
-88.3293 -93.7648
-85.5344 -93.9634
-84.1873 -95.1363
-81.5441 -94.751
-80.9067 -96.5913
-78.6798 -94.8039
-72.0044 -94.575
-73.103 -96.4628
-71.0112 -96.1718
-71.411 -93.6554
-67.0942 -93.568
-65.3058 -94.7485
-64.0477 -96.0895
-61.8292 -96.4761
-59.0497 -96.6222
-56.485 -95.4146
-55.8812 -94.4962
-54.418 -94.4327
-50.7033 -95.5371
-48.1361 -96.7256
-47.5133 -95.0549
-47.2987 -97.307
-43.3638 -95.4154
-42.4211 -95.0125
-41.4477 -95.2547
-36.048 -97.4733
-35.5064 -95.1773
-32.6109 -92.6954
-30.8647 -95.5777
-29.1541 -95.0635
-27.5451 -94.6047
