ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
10000
ITEM: BOX BOUNDS pp pp pp
-9.9000000000000000e+01 9.9000000000000000e+01
-9.9000000000000000e+01 9.9000000000000000e+01
-1.9800000000000001e+01 1.9800000000000001e+01
ITEM: ATOMS x y
-99 -99
-97.02 -99
-95.04 -99
-93.06 -99
-91.08 -99
-89.1 -99
-87.12 -99
-85.14 -99
-83.16 -99
-81.18 -99
-79.2 -99
-77.22 -99
-75.24 -99
-73.26 -99
-71.28 -99
-69.3 -99
-67.32 -99
-65.34 -99
-63.36 -99
-61.38 -99
-59.4 -99
-57.42 -99
-55.44 -99
-53.46 -99
-51.48 -99
-49.5 -99
-47.52 -99
-45.54 -99
-43.56 -99
-41.58 -99
-39.6 -99
-37.62 -99
-35.64 -99
-33.66 -99
-31.68 -99
-29.7 -99
-27.72 -99
-25.74 -99
-23.76 -99
-21.78 -99
-19.8 -99
-17.82 -99
-15.84 -99
-13.86 -99
-11.88 -99
-9.9 -99
-7.92 -99
-5.94 -99
-3.96 -99
-1.98 -99
0 -99
1.98 -99
3.96 -99
5.94 -99
7.92 -99
9.9 -99
11.88 -99
13.86 -99
15.84 -99
17.82 -99
19.8 -99
21.78 -99
23.76 -99
25.74 -99
27.72 -99
29.7 -99
31.68 -99
33.66 -99
35.64 -99
37.62 -99
39.6 -99
41.58 -99
43.56 -99
45.54 -99
47.52 -99
49.5 -99
51.48 -99
53.46 -99
55.44 -99
57.42 -99
59.4 -99
61.38 -99
63.36 -99
65.34 -99
67.32 -99
69.3 -99
71.28 -99
73.26 -99
75.24 -99
77.22 -99
79.2 -99
81.18 -99
83.16 -99
85.14 -99
87.12 -99
89.1 -99
91.08 -99
93.06 -99
95.04 -99
97.02 -99
-99 -97.02
-97.02 -97.02
-95.04 -97.02
-93.06 -97.02
-91.08 -97.02
-89.1 -97.02
-87.12 -97.02
-85.14 -97.02
-83.16 -97.02
-81.18 -97.02
-79.2 -97.02
-77.22 -97.02
-75.24 -97.02
-73.26 -97.02
-71.28 -97.02
-69.3 -97.02
-67.32 -97.02
-65.34 -97.02
-63.36 -97.02
-61.38 -97.02
-59.4 -97.02
-57.42 -97.02
-55.44 -97.02
-53.46 -97.02
-51.48 -97.02
-49.5 -97.02
-47.52 -97.02
-45.54 -97.02
-43.56 -97.02
-41.58 -97.02
-39.6 -97.02
-37.62 -97.02
-35.64 -97.02
-33.66 -97.02
-31.68 -97.02
-29.7 -97.02
-27.72 -97.02
-25.74 -97.02
-23.76 -97.02
-21.78 -97.02
-19.8 -97.02
-17.82 -97.02
-15.84 -97.02
-13.86 -97.02
-11.88 -97.02
-9.9 -97.02
-7.92 -97.02
-5.94 -97.02
-3.96 -97.02
-1.98 -97.02
0 -97.02
1.98 -97.02
3.96 -97.02
5.94 -97.02
7.92 -97.02
9.9 -97.02
11.88 -97.02
13.86 -97.02
15.84 -97.02
17.82 -97.02
19.8 -97.02
21.78 -97.02
23.76 -97.02
25.74 -97.02
27.72 -97.02
29.7 -97.02
31.68 -97.02
33.66 -97.02
35.64 -97.02
37.62 -97.02
39.6 -97.02
41.58 -97.02
43.56 -97.02
45.54 -97.02
47.52 -97.02
49.5 -97.02
51.48 -97.02
53.46 -97.02
55.44 -97.02
57.42 -97.02
59.4 -97.02
61.38 -97.02
63.36 -97.02
65.34 -97.02
67.32 -97.02
69.3 -97.02
71.28 -97.02
73.26 -97.02
75.24 -97.02
77.22 -97.02
79.2 -97.02
81.18 -97.02
83.16 -97.02
85.14 -97.02
87.12 -97.02
89.1 -97.02
91.08 -97.02
93.06 -97.02
95.04 -97.02
97.02 -97.02
-99 -95.04
-97.02 -95.04
-95.04 -95.04
-93.06 -95.04
-91.08 -95.04
-89.1 -95.04
-87.12 -95.04
-85.14 -95.04
-83.16 -95.04
-81.18 -95.04
-79.2 -95.04
-77.22 -95.04
-75.24 -95.04
-73.26 -95.04
-71.28 -95.04
-69.3 -95.04
-67.32 -95.04
-65.34 -95.04
-63.36 -95.04
-61.38 -95.04
-59.4 -95.04
-57.42 -95.04
-55.44 -95.04
