ITEM: TIMESTEP
100
ITEM: NUMBER OF ATOMS
10000
ITEM: BOX BOUNDS pp pp pp
-5.7205700000000000e+01 5.7205700000000000e+01
-5.7205700000000000e+01 5.7205700000000000e+01
-1.1441100000000000e+01 1.1441100000000000e+01
ITEM: ATOMS x y
57.208 57.2021
-56.0481 57.2102
-54.9053 57.2068
-53.7658 57.198
-52.6213 57.2157
-51.4784 57.1882
-50.3431 57.2107
-49.1771 57.2032
-48.0449 57.2103
-46.8947 57.1999
-45.7701 57.2107
-44.6085 57.2111
-43.4684 57.2095
-42.3267 57.1948
-41.1782 57.2098
-40.0356 57.1988
-38.8997 57.2078
-37.7447 57.1979
-36.6063 57.2099
-35.4481 57.2033
-34.309 57.2138
-33.174 57.2059
-32.0152 57.2051
-30.8886 57.1966
-29.7439 57.2173
-28.5899 57.1898
-27.4525 57.2066
-26.3099 57.2071
-25.1581 57.2054
-24.0084 57.2056
-22.8771 57.2027
-21.7328 57.206
-20.5767 57.2075
-19.4492 57.1967
-18.2975 57.1927
-17.1644 57.2151
-16.0096 57.2023
-14.8659 57.1969
-13.7258 57.2077
-12.5737 57.203
-11.4319 57.1953
-10.2934 57.2032
-9.15103 57.2074
-7.99851 57.2116
-6.8423 57.2081
-5.70998 57.221
-4.5619 57.2083
-3.42742 57.2113
-2.27509 57.1982
-1.1324 57.2101
0.013609 57.2157
1.15313 57.1945
2.29946 57.2249
3.44565 57.2152
4.57552 57.2101
5.73729 57.2056
6.88902 57.2063
8.0308 57.2061
9.15353 57.2163
10.3187 57.2098
11.453 57.1958
12.5925 57.2176
13.7279 57.2139
14.8794 57.1768
16.0264 57.1966
17.167 57.2128
18.3124 57.2139
19.4534 57.2047
20.5932 57.1987
21.7445 57.214
22.8916 57.208
24.0484 57.2014
25.1973 57.2236
26.3268 57.1847
27.4713 57.2131
28.6142 57.2179
29.7468 57.2031
30.9061 57.1948
32.0457 57.2054
33.1918 57.2068
34.3355 57.2155
35.4783 57.1972
36.6286 57.2069
37.7556 57.2077
38.9048 57.1974
40.0582 57.1953
41.2055 57.1991
42.3464 57.1885
43.4945 57.2114
44.6212 57.2096
45.7756 57.2064
46.9209 57.2016
48.0679 57.1931
49.2191 57.2042
50.358 57.2151
51.4985 57.188
52.6441 57.1937
53.7942 57.2034
54.9359 57.2052
56.0705 57.215
57.2121 -56.0482
-56.0549 -56.0685
-54.904 -56.0546
-53.7575 -56.052
-52.6045 -56.0586
-51.4818 -56.0601
-50.3183 -56.0586
-49.1781 -56.0652
-48.0367 -56.0721
-46.8936 -56.0595
-45.766 -56.0627
-44.6022 -56.0615
-43.4703 -56.0843
-42.3261 -56.0563
-41.1763 -56.0574
-40.0294 -56.0713
-38.8927 -56.0658
-37.7427 -56.0703
-36.5964 -56.0582
-35.4684 -56.0635
-34.3157 -56.052
-33.1686 -56.057
-32.0451 -56.0653
-30.8702 -56.0401
-29.7475 -56.0662
-28.5898 -56.0658
-27.4566 -56.0725
-26.3092 -56.0664
-25.1743 -56.0514
-24.0017 -56.0709
-22.877 -56.0619
-21.7338 -56.0633
-20.5869 -56.0719
-19.4427 -56.0628
-18.296 -56.0468
-17.1486 -56.0694
-16.0144 -56.0631
-14.8579 -56.0528
-13.7111 -56.0538
-12.5702 -56.0425
-11.4221 -56.0637
-10.2879 -56.0591
-9.14787 -56.0696
-7.99653 -56.057
-6.85858 -56.0573
-5.70749 -56.0716
-4.55778 -56.0585
-3.43332 -56.0602
-2.27861 -56.0625
-1.13104 -56.0677
0.00569405 -56.06
1.16386 -56.055
2.29886 -56.0745
3.43981 -56.0649
4.58932 -56.0554
5.72154 -56.0486
6.86054 -56.0533
8.00973 -56.06
9.15732 -56.0623
10.3163 -56.0723
11.4629 -56.0511
12.5931 -56.0596
13.7507 -56.0644
14.8827 -56.0571
16.0304 -56.0533
17.1755 -56.0594
18.3241 -56.0656
19.4633 -56.0644
20.6058 -56.0416
21.7459 -56.0679
22.8998 -56.0626
24.0309 -56.0632
25.1756 -56.0599
26.3098 -56.0489
27.4684 -56.0711
28.6206 -56.0619
29.7622 -56.0649
30.9127 -56.0655
32.0448 -56.0629
33.1947 -56.0603
34.3407 -56.0631
35.4818 -56.0771
36.6255 -56.0632
37.7679 -56.076
38.9121 -56.0676
40.0506 -56.0616
41.1999 -56.0593
42.3425 -56.0697
43.4738 -56.0639
44.643 -56.0651
45.7866 -56.0657
46.9254 -56.0645
48.0762 -56.0521
49.2019 -56.0702
50.3484 -56.0634
51.4974 -56.0608
52.6343 -56.0576
53.7754 -56.0655
54.929 -56.0633
56.0628 -56.0684
57.2225 -54.9213
-56.0486 -54.9171
-54.8916 -54.9266
-53.7599 -54.9305
-52.6107 -54.9107
-51.4821 -54.924
-50.3269 -54.9089
-49.1848 -54.9255
-48.0484 -54.9214
-46.8977 -54.9264
-45.7599 -54.9152
-44.6112 -54.9252
-43.4478 -54.908
-42.3127 -54.9206
-41.1744 -54.9282
-40.0381 -54.9123
-38.8885 -54.9204
-37.7556 -54.9237
-36.6062 -54.9199
-35.4555 -54.9251
-34.3255 -54.9248
-33.1801 -54.9434
-32.0161 -54.9234
-30.886 -54.916
-29.7379 -54.9102
-28.596 -54.923
-27.4445 -54.9137
-26.3098 -54.9173
-25.1567 -54.9156
-24.0129 -54.9104
-22.8738 -54.9163
-21.7397 -54.9171
-20.5899 -54.9312
-19.4354 -54.9203
-18.3001 -54.9145
-17.1508 -54.9175
-16.0154 -54.9173
-14.8562 -54.9076
-13.712 -54.9251
-12.5788 -54.9196
-11.4284 -54.92
-10.2829 -54.9141
-9.13064 -54.9175
-8.00184 -54.9135
-6.85491 -54.9219
-5.70477 -54.9104
-4.57219 -54.9026
-3.42054 -54.9335
-2.25966 -54.9281
-1.13999 -54.9113
0.0193194 -54.8994
1.15583 -54.9118
2.28755 -54.9231
3.43416 -54.9308
4.60056 -54.9122
5.72988 -54.923
6.87519 -54.9175
8.02106 -54.9205
9.16252 -54.9098
10.3084 -54.9104
11.4622 -54.9274
12.6047 -54.9176
13.75 -54.9142
14.8847 -54.9262
16.0277 -54.9187
17.1648 -54.9293
18.316 -54.9103
19.4681 -54.9161
20.6006 -54.9161
21.7502 -54.9291
22.8984 -54.9267
24.0302 -54.903
25.1729 -54.9066
26.321 -54.913
27.4665 -54.912
28.6205 -54.9251
29.7593 -54.9166
30.9066 -54.9077
32.0421 -54.9107
33.1845 -54.9155
34.3363 -54.9172
35.4782 -54.9301
36.6172 -54.9153
37.7657 -54.9153
38.9095 -54.9287
40.0518 -54.913
41.1945 -54.9047
42.3398 -54.9251
43.4934 -54.9123
44.6387 -54.9194
45.7758 -54.925
46.9236 -54.9315
48.059 -54.9065
49.2065 -54.9223
50.3544 -54.906
51.4826 -54.9092
52.6461 -54.9229
53.7875 -54.9155
54.9219 -54.9198
56.0758 -54.8959
57.215 -53.7709
-56.0399 -53.7782
-54.9171 -53.7696
-53.7729 -53.7787
-52.6199 -53.7865
-51.477 -53.7705
-50.3366 -53.7711
-49.1836 -53.7645
-48.0414 -53.7685
-46.9036 -53.7756
-45.7629 -53.7774
-44.6149 -53.7895
-43.4652 -53.785
-42.3047 -53.7652
-41.1746 -53.7831
-40.0298 -53.7759
-38.8932 -53.7784
-37.7517 -53.777
-36.5985 -53.7648
-35.4619 -53.7795
-34.3084 -53.7684
-33.1732 -53.7618
-32.0275 -53.77
-30.873 -53.7727
-29.7354 -53.7647
-28.5926 -53.7698
-27.4376 -53.7882
-26.2966 -53.7686
-25.1653 -53.7719
-24.0236 -53.7782
-22.8681 -53.7786
-21.7181 -53.7802
-20.593 -53.7878
-19.4398 -53.7767
-18.2892 -53.7657
-17.1454 -53.7723
-16.0023 -53.754
-14.8662 -53.7637
-13.7278 -53.7743
-12.5756 -53.7751
-11.4351 -53.777
-10.2906 -53.7687
-9.15311 -53.7699
-8.0039 -53.769
-6.8689 -53.785
-5.72179 -53.77
-4.56982 -53.7665
-3.4267 -53.7835
-2.2679 -53.7649
-1.12667 -53.7754
0.0112369 -53.7718
1.1604 -53.7631
2.30183 -53.7755
3.44799 -53.7711
4.57702 -53.7762
5.7339 -53.7733
6.8941 -53.772
8.0263 -53.7679
9.15735 -53.7673
10.3052 -53.7657
11.4533 -53.7766
12.5991 -53.7757
13.7481 -53.7827
14.8776 -53.7726
16.0344 -53.7876
17.1721 -53.7748
18.3076 -53.7722
19.4526 -53.7673
20.6127 -53.7607
21.7397 -53.779
22.8979 -53.7824
24.0384 -53.7652
25.1887 -53.7741
26.3282 -53.7846
27.4665 -53.781
28.6179 -53.7703
29.7624 -53.777
30.901 -53.774
32.0516 -53.788
33.2042 -53.777
34.3316 -53.7815
35.4753 -53.7674
36.6258 -53.785
37.7733 -53.7803
38.9035 -53.7866
40.0627 -53.7632
41.1975 -53.7772
42.342 -53.7666
43.4935 -53.7761
44.6244 -53.7862
45.7791 -53.7595
46.91 -53.7738
48.0653 -53.7726
49.2174 -53.7769
50.3449 -53.7706
51.4984 -53.7771
52.64 -53.766
53.7867 -53.7624
54.9163 -53.785
56.0802 -53.7683
57.2176 -52.6183
-56.0439 -52.6261
-54.8959 -52.627
-53.7608 -52.643
-52.6292 -52.6256
-51.482 -52.6351
-50.3295 -52.6445
-49.1929 -52.6309
-48.0365 -52.622
