ITEM: TIMESTEP
630
ITEM: NUMBER OF ATOMS
10000
ITEM: BOX BOUNDS pp pp pp
-5.7205700000000000e+01 5.7205700000000000e+01
-5.7205700000000000e+01 5.7205700000000000e+01
-1.1441100000000000e+01 1.1441100000000000e+01
ITEM: ATOMS x y
-56.9745 56.9591
-55.8189 57.1758
-54.5188 56.9258
-53.408 -57.148
-52.3806 -57.0091
-51.2796 57.144
-50.1233 -57.1952
-48.771 57.027
-47.7441 -57.0345
-46.7844 57.0419
-45.598 -57.1769
-44.5857 57.1682
-43.2057 57.0019
-41.8657 57.2238
-40.872 57.0807
-39.8161 57.0574
-38.7435 -57.1104
-37.5769 -57.1442
-36.5125 -57.0299
-35.105 -57.1006
-33.972 -57.0716
-32.9698 57.1936
-31.9196 -57.1004
-30.8179 -57.1744
-29.5374 -57.1449
-28.4515 57.0944
-27.3973 57.008
-26.3042 -57.1008
-24.7943 -57.0724
-23.675 57.1647
-22.673 -57.1844
-21.6218 57.0558
-20.1012 56.906
-19.1283 -57.037
-17.796 57.009
-16.8434 -56.9645
-15.8241 57.0439
-14.832 -57.0799
-13.6248 -57.0466
-12.332 -57.0233
-11.1909 57.1878
-10.1669 -57.1595
-9.03653 -56.9115
-7.90211 57.1635
-6.85588 57.1594
-5.28549 -57.1269
-4.29484 57.1028
-3.24665 56.9945
-2.06481 -57.0852
-0.992674 -57.1829
0.0427284 57.1793
1.41137 57.2226
2.41893 57.1882
3.44275 -57.0696
4.61174 -57.0599
6.13688 -57.0223
7.02798 56.91
8.09971 -57.121
9.14182 -57.0125
10.7565 -57.166
11.8029 -57.1111
12.8472 56.9765
13.9587 -57.1572
15.0355 57.1139
16.183 56.9322
17.3871 57.1552
18.4002 -56.9824
19.4309 -57.0436
20.5115 57.0431
21.6447 -57.0515
23.1181 -57.0627
24.4974 57.0672
25.5864 -56.8988
26.5115 57.1208
27.7122 57.1789
28.8141 -57.0301
29.9243 -57.1211
30.9258 57.0615
31.9545 -57.1567
33.3598 -57.1309
34.4936 -57.1809
35.7435 57.0952
36.798 57.1635
37.8563 -56.9479
38.8885 57.1139
40.2168 57.133
41.2898 56.9513
42.5642 -57.1136
43.5682 -57.115
44.6413 -56.919
45.7257 56.8295
47.1413 56.9431
48.2784 57.1048
49.5664 57.0523
50.5869 -57.0591
51.5681 57.0252
52.7162 -57.1539
54.1907 -57.1701
55.1822 -57.0002
56.373 -57.1718
-57.1777 -55.9457
-55.9475 -56.0627
-54.6723 -56.0216
-53.3859 -56.1333
-52.2686 -55.8715
-51.2102 -56.2271
-49.9495 -56.1678
-48.9677 -56.3308
-48.0069 -55.9413
-46.8281 -55.8943
-45.5419 -56.1453
-44.1648 -55.9748
-43.0495 -56.2284
-42.0985 -55.8381
-40.8318 -56.216
-39.6036 -56.1129
-38.374 -56.033
-37.3447 -55.9439
-36.1862 -55.9959
-35.1434 -56.0668
-34.106 -55.9282
-33.0453 -56.2157
-31.9728 -55.9099
-30.7882 -55.9124
-29.5981 -55.7814
-28.6215 -56.2556
-27.5641 -55.9589
