ITEM: TIMESTEP
56
ITEM: NUMBER OF ATOMS
10000
ITEM: BOX BOUNDS pp pp pp
-5.7205700000000000e+01 5.7205700000000000e+01
-5.7205700000000000e+01 5.7205700000000000e+01
-1.1441100000000000e+01 1.1441100000000000e+01
ITEM: ATOMS x y
57.2065 57.2059
-56.0562 57.2052
-54.9125 57.2077
-53.7705 57.2013
-52.6278 57.2074
-51.4844 57.1984
-50.342 57.2065
-49.1906 57.2036
-48.0481 57.2062
-46.903 57.2053
-45.7649 57.21
-44.6166 57.2079
-43.4745 57.2052
-42.3314 57.2029
-41.1859 57.2073
-40.0417 57.2042
-38.9005 57.2071
-37.7512 57.202
-36.6099 57.2052
-35.4612 57.2066
-34.3188 57.2082
-33.1789 57.2062
-32.0264 57.2029
-30.8894 57.2013
-29.7456 57.209
-28.5984 57.1995
-27.4577 57.2046
-26.3134 57.2056
-25.1661 57.2065
-24.0208 57.2058
-22.8822 57.2017
-21.7382 57.2057
-20.59 57.207
-19.4495 57.2038
-18.3021 57.2013
-17.1639 57.207
-16.0146 57.2047
-14.8718 57.2013
-13.7291 57.2074
-12.5801 57.207
-11.4369 57.201
-10.2959 57.205
-9.15419 57.2061
-8.00225 57.2045
-6.85605 57.2061
-5.71789 57.2094
-4.57208 57.2075
-3.43177 57.2083
-2.28295 57.2038
-1.13989 57.2054
0.0043479 57.2084
1.14699 57.2
2.29083 57.2119
3.4379 57.2091
4.578 57.208
5.72517 57.2045
6.87211 57.2083
8.01568 57.2039
9.15416 57.2108
10.3048 57.204
11.4451 57.203
12.5884 57.2092
13.7297 57.2095
14.8752 57.1957
16.0204 57.2029
17.1627 57.2093
18.3065 57.2079
19.453 57.2051
20.5937 57.2039
21.7407 57.21
22.8843 57.2052
24.0337 57.2025
25.1784 57.2122
26.3179 57.1969
27.4614 57.2079
28.6063 57.2123
29.7453 57.2026
30.8961 57.2028
32.0377 57.2059
33.1831 57.2042
34.3274 57.2085
35.4718 57.204
36.6188 57.2048
37.7547 57.2047
38.9002 57.2024
40.0479 57.2003
41.1941 57.204
42.3356 57.1997
43.4832 57.2066
44.6212 57.2068
45.7683 57.2075
46.9135 57.206
48.0583 57.1993
49.2042 57.2046
50.346 57.2106
51.4911 57.1991
52.6363 57.2012
53.7794 57.2054
54.925 57.2075
56.0633 57.2089
57.2088 -56.0571
-56.0598 -56.0629
-54.9112 -56.0584
-53.7687 -56.0556
-52.6206 -56.0601
-51.483 -56.0612
-50.3329 -56.0608
-49.1897 -56.0617
-48.0483 -56.0641
-46.9039 -56.0608
-45.7642 -56.0615
-44.6137 -56.0608
-43.476 -56.0672
-42.3311 -56.06
-41.1844 -56.0604
-40.0381 -56.0638
-38.8993 -56.0605
-37.752 -56.0669
-36.6048 -56.0612
-35.4682 -56.0635
-34.3228 -56.0589
-33.1761 -56.0595
-32.0391 -56.0629
-30.8823 -56.0538
-29.7488 -56.0636
-28.5978 -56.0611
-27.4577 -56.0657
-26.3124 -56.0614
-25.1707 -56.0587
-24.0173 -56.0649
-22.8807 -56.0612
-21.7375 -56.062
-20.5933 -56.0644
-19.4471 -56.0609
-18.3028 -56.057
-17.1598 -56.0646
-16.0142 -56.0637
-14.8703 -56.0572
-13.7217 -56.0597
-12.5796 -56.0558
-11.4335 -56.0616
-10.2948 -56.0612
-9.15083 -56.0658
-8.00288 -56.0606
-6.86261 -56.0602
-5.71629 -56.0661
-4.5694 -56.059
-3.43219 -56.059
-2.28581 -56.0629
-1.13945 -56.0635
0.00104056 -56.0599
1.14751 -56.0613
2.291 -56.0648
3.43359 -56.0642
4.57844 -56.06
5.72284 -56.0574
6.86392 -56.0569
8.0089 -56.0612
9.15351 -56.0623
10.3053 -56.0661
11.4486 -56.0575
12.5876 -56.0605
13.7374 -56.0631
14.8774 -56.0604
16.022 -56.0575
17.1659 -56.061
18.3103 -56.0618
19.4555 -56.0619
20.5988 -56.0557
21.74 -56.0645
22.8883 -56.0651
24.0266 -56.0637
25.1734 -56.0616
26.3151 -56.0578
27.4615 -56.0643
28.6098 -56.0603
29.7514 -56.0632
30.8993 -56.0626
32.0375 -56.0624
33.1862 -56.0618
34.3305 -56.0631
35.4725 -56.0675
36.6154 -56.0632
37.7577 -56.0682
38.9012 -56.063
40.0456 -56.0613
41.1915 -56.0591
42.3359 -56.0624
43.4736 -56.0611
44.6304 -56.0641
45.7723 -56.0621
46.9157 -56.0617
48.0621 -56.0587
49.1973 -56.0632
50.3433 -56.0633
51.4901 -56.0615
52.6308 -56.0593
53.7748 -56.0632
54.9207 -56.0648
56.0599 -56.0627
57.212 -54.9179
-56.0571 -54.9201
-54.9082 -54.9199
-53.7692 -54.9232
-52.6248 -54.9147
-51.483 -54.9202
-50.3341 -54.9155
-49.1925 -54.9216
-48.0516 -54.9181
-46.9041 -54.9236
-45.762 -54.914
-44.617 -54.9216
-43.4661 -54.9151
-42.3251 -54.9183
-41.1848 -54.9205
-40.0416 -54.9167
-38.8964 -54.9189
-37.7564 -54.9201
-36.6088 -54.9162
-35.4652 -54.9231
-34.3251 -54.9193
-33.1793 -54.9239
-32.0276 -54.9179
-30.8893 -54.9152
-29.7442 -54.9166
-28.5986 -54.9186
-27.4548 -54.9161
-26.3145 -54.917
-25.1627 -54.9178
-24.0236 -54.9156
-22.8801 -54.9176
-21.7374 -54.9154
-20.5908 -54.9219
-19.4451 -54.9194
-18.3044 -54.9182
-17.1582 -54.9191
-16.0178 -54.9178
-14.867 -54.9139
-13.7242 -54.9206
-12.5836 -54.917
-11.4366 -54.9176
-10.2921 -54.9173
-9.14413 -54.9157
-8.00625 -54.9192
-6.86189 -54.9199
-5.71484 -54.9167
-4.57617 -54.9143
-3.42799 -54.9227
-2.27802 -54.9213
-1.14016 -54.9142
0.0085996 -54.9113
1.14933 -54.918
2.28765 -54.9197
3.43318 -54.9215
4.58492 -54.9147
5.72385 -54.9192
6.86784 -54.9193
8.01449 -54.9184
9.15729 -54.9145
10.2999 -54.9157
11.447 -54.921
12.5916 -54.9188
13.7365 -54.9147
14.8785 -54.9201
16.0196 -54.919
17.1621 -54.9222
18.3091 -54.9136
19.4557 -54.9184
20.5974 -54.9188
21.7414 -54.9202
22.8872 -54.9201
24.0279 -54.9127
25.1716 -54.913
26.3192 -54.915
27.4604 -54.916
28.6076 -54.9213
29.7524 -54.9164
30.896 -54.9157
32.0364 -54.9146
33.1811 -54.9175
34.3276 -54.917
35.473 -54.9199
36.6129 -54.9159
37.7601 -54.9151
38.9041 -54.9198
40.0462 -54.9149
41.1898 -54.9101
42.3341 -54.9233
43.4815 -54.9146
44.6277 -54.9187
45.7692 -54.9214
46.9118 -54.9195
48.0557 -54.9122
49.1995 -54.9189
50.3446 -54.9128
51.482 -54.9142
52.6368 -54.9214
53.7798 -54.9173
54.9185 -54.9185
56.0654 -54.9098
57.2073 -53.7734
-56.0553 -53.7772
-54.918 -53.7726
-53.7751 -53.7747
-52.6249 -53.7767
-51.4831 -53.7709
-50.3382 -53.7709
-49.1925 -53.7702
-48.0478 -53.7718
-46.9064 -53.7745
-45.7653 -53.7762
-44.6192 -53.778
-43.4719 -53.7765
-42.3203 -53.7719
-41.184 -53.7759
-40.0398 -53.7737
-38.8983 -53.7755
-37.7556 -53.775
-36.6077 -53.7676
-35.4653 -53.7724
-34.3177 -53.7696
-33.1782 -53.7715
-32.0337 -53.7717
-30.886 -53.7735
-29.7415 -53.7709
-28.5969 -53.7701
-27.4522 -53.7787
-26.3069 -53.7729
-25.1691 -53.7737
-24.0247 -53.7752
-22.8758 -53.7757
-21.731 -53.7761
-20.5946 -53.7768
-19.4479 -53.776
-18.3003 -53.7719
-17.1599 -53.7717
-16.0133 -53.7661
-14.8713 -53.771
-13.7312 -53.7744
-12.5838 -53.7754
-11.4377 -53.7717
-10.2945 -53.7734
-9.15243 -53.7731
-8.00741 -53.7734
-6.86538 -53.7773
-5.721 -53.7713
-4.57234 -53.768
-3.43133 -53.7761
-2.28069 -53.7688
-1.13731 -53.7718
0.0040104 -53.7737
1.14973 -53.7702
2.29185 -53.7722
3.43817 -53.7722
4.57599 -53.7756
5.72453 -53.7725
6.87422 -53.7734
8.01532 -53.7704
9.15492 -53.7717
10.3005 -53.7689
11.4454 -53.7763
12.5893 -53.7752
13.7356 -53.777
14.8745 -53.7735
16.0225 -53.7787
17.1655 -53.7729
18.3067 -53.7708
19.451 -53.773
20.599 -53.7674
21.7387 -53.7762
22.8879 -53.7766
24.0315 -53.7708
25.1776 -53.7763
26.3178 -53.7753
27.4612 -53.7766
28.6069 -53.7711
29.7514 -53.7741
30.8919 -53.7733
32.0398 -53.7783
33.19 -53.7765
34.3265 -53.7773
35.4711 -53.7684
36.6165 -53.7772
37.7614 -53.7746
38.9005 -53.7775
40.0504 -53.7689
41.1892 -53.7709
42.3351 -53.7711
43.4835 -53.7712
44.6222 -53.7784
45.7689 -53.7676
46.9092 -53.7735
48.0583 -53.7723
49.2041 -53.7769
50.3431 -53.7695
51.4897 -53.7737
52.6333 -53.7688
53.7793 -53.7714
54.9161 -53.777
56.0641 -53.7725
57.2091 -52.6244
-56.057 -52.6276
-54.9093 -52.6256
-53.77 -52.6324
-52.6292 -52.6268
-51.4844 -52.6302
-50.3373 -52.6354
-49.1957 -52.6301
-48.0471 -52.6273
-46.9053 -52.6246
-45.7555 -52.6292
-44.6222 -52.6311
-43.4714 -52.6297
-42.3277 -52.632
-41.184 -52.6251
-40.0387 -52.6312
-38.8964 -52.6302
-37.7526 -52.6318
-36.606 -52.6318
-35.4637 -52.6271
-34.3191 -52.632
-33.1819 -52.6329
-32.0299 -52.6286
-30.8855 -52.6252
-29.7438 -52.6286
-28.6017 -52.6266
-27.4508 -52.6322
-26.3097 -52.6301
-25.1647 -52.6244
-24.0235 -52.6266
-22.8786 -52.6242
-21.7324 -52.6212
-20.5903 -52.6288
-19.4407 -52.6282
-18.2978 -52.6354
-17.1544 -52.63
-16.0147 -52.6276
-14.8678 -52.6304
-13.7306 -52.6291
-12.5771 -52.6329
-11.4394 -52.6296
-10.2924 -52.6296
-9.14322 -52.6325
-8.00265 -52.6303
-6.86368 -52.6331
-5.71788 -52.6269
-4.57461 -52.6321
-3.42648 -52.6299
-2.28587 -52.6285
-1.14042 -52.6319
0.00269198 -52.6292
1.1439 -52.626
2.29002 -52.6315
3.43944 -52.6309
4.57438 -52.6254
5.71732 -52.6348
6.86573 -52.6372
8.01407 -52.6321
9.1537 -52.6313
10.3036 -52.628
11.4447 -52.6259
12.5872 -52.6267
13.7302 -52.63
14.875 -52.629
16.025 -52.6299
17.1647 -52.6261
18.3043 -52.6274
19.4484 -52.6314
20.5977 -52.6348
21.7412 -52.6287
22.8835 -52.6323
24.0298 -52.6297
25.1729 -52.6262
26.3176 -52.6276
27.4583 -52.6257
28.6052 -52.629
29.7501 -52.6274
30.8964 -52.627
32.0319 -52.6267
33.1822 -52.6301
34.3264 -52.6301
35.4736 -52.6296
36.613 -52.626
37.7611 -52.6316
38.9036 -52.6285
40.0472 -52.6297
41.1922 -52.6313
42.3384 -52.6276
43.4821 -52.6237
44.6214 -52.6275
45.7661 -52.6277
46.9115 -52.6289
48.0635 -52.6351
49.2041 -52.6255
50.3483 -52.6274
51.4866 -52.6276
52.6353 -52.6292
53.7802 -52.6327
54.92 -52.6326
56.063 -52.6317
57.2085 -51.4835
-56.0588 -51.478
-54.9143 -51.488
-53.7707 -51.4824
-52.6234 -51.4865
-51.4827 -51.4849
-50.336 -51.4847
-49.1944 -51.4809
-48.049 -51.4888
-46.9023 -51.4868
-45.7547 -51.4803
-44.6192 -51.4871
-43.4742 -51.4903
-42.3322 -51.4843
-41.1847 -51.4884
-40.0409 -51.4831
-38.8967 -51.4881
-37.7508 -51.4862
-36.6049 -51.4811
-35.4657 -51.4887
-34.319 -51.4807
-33.1772 -51.4904
-32.0304 -51.4868
-30.8915 -51.4836
-29.7435 -51.4916
-28.6003 -51.4815
-27.4526 -51.4843
-26.3149 -51.4832
-25.1705 -51.4815
-24.0264 -51.4864
-22.8797 -51.4833
-21.7344 -51.4818
-20.5909 -51.4826
-19.4495 -51.4829
-18.2986 -51.4814
-17.157 -51.4887
-16.0106 -51.4834
-14.8761 -51.49
-13.7246 -51.4859
-12.5767 -51.4856
-11.4365 -51.4866
-10.2897 -51.4824
-9.15047 -51.483
-8.00547 -51.4868
-6.85951 -51.4879
-5.71627 -51.4827
-4.57221 -51.4875
-3.43102 -51.4872
-2.28401 -51.4891
-1.14238 -51.482
0.00366283 -51.4849
1.14641 -51.4857
2.29035 -51.4846
3.43372 -51.4822
4.57813 -51.4837
5.72526 -51.4853
6.86203 -51.4875
8.00943 -51.4838
9.16093 -51.4844
10.2995 -51.4901
11.4441 -51.4874
12.5906 -51.4847
13.7343 -51.4859
14.8791 -51.4816
16.0222 -51.488
17.1662 -51.4843
18.3072 -51.4846
19.4579 -51.4856
20.5983 -51.4821
21.7383 -51.4797
22.8889 -51.4836
24.0285 -51.4846
25.1709 -51.4876
26.3193 -51.4862
27.4603 -51.4807
28.6038 -51.4854
29.7492 -51.4838
30.8983 -51.4869
32.0361 -51.4836
33.1866 -51.4809
34.331 -51.485
35.4725 -51.4894
36.6162 -51.4841
37.7613 -51.4875
38.9016 -51.4831
40.0475 -51.4849
41.1891 -51.4889
42.3342 -51.4853
43.4823 -51.4825
44.6221 -51.4859
45.7667 -51.4907
46.905 -51.4875
48.0588 -51.4877
49.1981 -51.4828
50.344 -51.4822
51.4845 -51.485
52.6345 -51.4794
53.7723 -51.4893
54.9226 -51.4801
56.062 -51.4826
57.2123 -50.3389
-56.0568 -50.3379
-54.9094 -50.3425
-53.7708 -50.341
-52.6299 -50.337
-51.4813 -50.3371
-50.3368 -50.3379
-49.1904 -50.3412
-48.0509 -50.3421
-46.9046 -50.3459
-45.7622 -50.3351
-44.6178 -50.3412
-43.4706 -50.3448
-42.3271 -50.3364
-41.1817 -50.3431
-40.0443 -50.3405
-38.8955 -50.3423
-37.7543 -50.3441
-36.6064 -50.3392
-35.4672 -50.3411
-34.3253 -50.3444
-33.1741 -50.3407
-32.0326 -50.3444
-30.8878 -50.3427
-29.7407 -50.3418
-28.5957 -50.34
-27.4504 -50.3401
-26.3116 -50.3373
-25.1678 -50.3369
-24.0206 -50.3377
-22.8777 -50.3452
-21.733 -50.3465
-20.5852 -50.3415
-19.4477 -50.346
-18.3071 -50.3389
-17.1596 -50.3349
-16.0151 -50.3451
-14.8732 -50.3434
-13.7242 -50.343
-12.5803 -50.3422
-11.4414 -50.3458
-10.2939 -50.3457
-9.14131 -50.343
-8.00878 -50.3362
-6.86129 -50.3416
-5.71702 -50.343
-4.5694 -50.343
-3.42977 -50.3459
-2.29047 -50.3439
-1.14108 -50.3398
0.00687415 -50.3399
1.15296 -50.3407
2.29684 -50.3338
3.43149 -50.3402
4.58113 -50.3442
5.7237 -50.3463
6.86724 -50.3388
8.01205 -50.3429
