ITEM: TIMESTEP
5000
ITEM: NUMBER OF ATOMS
10000
ITEM: BOX BOUNDS pp pp pp
-5.0000000000000000e+01 5.0000000000000000e+01
-5.0000000000000000e+01 5.0000000000000000e+01
-1.0000000000000000e+01 1.0000000000000000e+01
ITEM: ATOMS x y
-49.6451 -49.5187
-48.4893 -49.6111
-47.3928 -49.7254
-46.2976 -49.2777
-45.4645 -49.8329
-44.3479 -49.9189
-43.1998 -49.985
-42.119 49.9358
-41.0756 49.8864
-40.0712 49.7943
-38.97 -49.7126
-38.1013 49.7511
-37.1011 -49.7929
-36.293 49.5869
-35.305 -49.8859
-34.402 -49.3905
-33.5673 -49.9605
-32.6405 -49.5489
-31.7444 49.7813
-30.8114 49.3613
-29.8565 49.7565
-28.7823 -49.8023
-27.9387 49.5503
-26.8802 49.3835
-25.1568 49.9247
-24.1695 49.7068
-23.1757 49.3716
-22.3935 -49.7312
-21.7423 49.5153
-20.7213 49.5354
-19.783 49.9083
-18.7878 -49.8843
-17.6118 -49.6598
-16.5474 -49.4945
-15.532 -49.3302
-14.5163 -49.2329
-13.4767 -49.2334
-12.2385 -48.8311
-11.5082 -49.6276
-10.6283 49.7177
-9.66797 -49.8135
-8.86219 49.5248
-7.82467 49.9481
-6.95321 49.2769
-5.99032 49.9038
-5.05667 -49.7445
-4.1704 49.6076
-3.21613 -49.8508
-2.34811 49.5696
-0.460876 -49.7613
0.48768 49.9186
1.38646 -49.413
2.33506 -49.7783
3.2998 -49.0805
4.18032 -49.5862
5.1774 -48.9964
6.52162 -49.607
7.4279 49.9634
8.37859 -49.4962
9.29125 49.8696
10.1252 -49.5774
11.4246 49.9529
12.3796 -49.65
13.2923 49.7692
14.2007 -49.7941
15.064 49.562
15.9928 49.9387
17.0393 49.3552
17.9654 49.7271
18.9237 -49.839
19.8056 49.5867
20.6666 49.0683
21.7149 49.4102
22.5498 49.9863
23.6602 49.436
24.5289 49.9334
25.5824 49.5558
26.4035 -49.8793
27.4549 49.6543
28.7536 -49.9835
29.7822 -49.9441
30.905 -49.9648
31.9234 -49.9211
32.9365 -49.8675
33.9391 -49.8611
34.862 49.6623
35.8553 49.57
36.8564 49.612
37.86 49.6399
38.9746 49.7422
40.081 49.5062
40.9381 -49.9607
41.818 49.5325
42.8467 49.9119
43.8442 49.576
44.8082 49.9714
45.8234 -49.6506
47.2597 -49.6419
48.2999 -49.611
49.3597 -49.5988
-48.989 -48.6533
-47.9856 -48.6882
-46.9744 -48.4559
-45.745 -48.4371
-44.851 -49.0008
-44.6206 -48.0023
-43.7026 -49.1202
-42.5693 -49.1636
-41.5712 -49.2239
-39.837 -49.2164
-38.9074 -48.6877
-38.0211 -49.2408
-37.0923 -48.7837
-36.2017 -49.3469
-35.2586 -48.865
-34.2989 -48.2535
-33.4174 -48.8169
-32.446 -48.5073
-31.6049 -49.1989
-30.6951 -49.6178
-29.7124 -49.215
-28.5281 -48.6732
-27.2637 -49.649
-26.249 -49.7928
-25.4894 -49.0061
-24.4588 -49.2879
-23.476 -49.5069
-22.7751 -48.7902
-21.5697 -49.1418
-20.5071 -49.4041
-19.4774 -49.1235
-18.2892 -48.9189
-17.2281 -48.6958
-16.2382 -48.4963
-15.2295 -48.3692
-14.1681 -48.2759
-13.1269 -48.2381
-11.9954 -47.8519
-11.2513 -48.5405
-10.5535 -49.2704
-9.5056 -48.7928
-8.71527 -49.4395
-7.80142 -48.9379
-6.89654 -49.6417
-5.80492 -49.0585
-4.88854 -48.6462
-4.12185 -49.3347
-3.17608 -48.8114
-2.2766 -49.3653
-0.966885 -48.8532
0.346477 -49.0894
1.12979 -48.343
2.16183 -48.7852
2.91133 -48.1256
4.15357 -48.4871
5.60581 -48.0676
6.48546 -48.5993
